Sample Name, Sample-1
Time, March 10 15:21:05 2023
Operator, Smith
Lamp, 0
Slit,0.0
Scan From, 1100.0nm
Scan To, 190.0nm
Scan Step, 0.5nm
Sample Filter, 5
memo, 
WL(nm), Abs, T%
604.5, 0.3240, 47.43
605.0, 0.3240, 47.43
605.5, 0.3241, 47.42
606.0, 0.3240, 47.42
606.5, 0.3240, 47.43
607.0, 0.3240, 47.43
607.5, 0.3239, 47.44
608.0, 0.3240, 47.43
608.5, 0.3238, 47.44
609.0, 0.3238, 47.44
609.5, 0.3238, 47.44
610.0, 0.3238, 47.45
610.5, 0.3238, 47.44
611.0, 0.3237, 47.46
611.5, 0.3237, 47.45
612.0, 0.3237, 47.46
612.5, 0.3236, 47.47
613.0, 0.3236, 47.47
613.5, 0.3236, 47.46
614.0, 0.3236, 47.47
614.5, 0.3236, 47.47
615.0, 0.3236, 47.46
615.5, 0.3236, 47.47
616.0, 0.3235, 47.48
616.5, 0.3235, 47.48
617.0, 0.3234, 47.49
617.5, 0.3234, 47.49
618.0, 0.3233, 47.50
618.5, 0.3233, 47.50
619.0, 0.3233, 47.50
619.5, 0.3233, 47.50
620.0, 0.3233, 47.50
620.5, 0.3232, 47.51
621.0, 0.3232, 47.51
621.5, 0.3231, 47.52
622.0, 0.3231, 47.52
622.5, 0.3231, 47.52
623.0, 0.3230, 47.53
623.5, 0.3231, 47.52
624.0, 0.3231, 47.52
624.5, 0.3231, 47.52
625.0, 0.3230, 47.53
625.5, 0.3231, 47.53
626.0, 0.3229, 47.55
626.5, 0.3229, 47.54
627.0, 0.3229, 47.54
627.5, 0.3228, 47.55
628.0, 0.3229, 47.55
628.5, 0.3229, 47.55
629.0, 0.3228, 47.56
629.5, 0.3228, 47.56
630.0, 0.3228, 47.55
630.5, 0.3227, 47.56
631.0, 0.3226, 47.57
631.5, 0.3226, 47.57
632.0, 0.3225, 47.59
632.5, 0.3225, 47.58
