Sample Name, Sample-4
Time, March 10 13:58:20 2023
Operator, Smith
Lamp, 0
Slit,0.0
Scan From, 1100.0nm
Scan To, 190.0nm
Scan Step, 0.5nm
Sample Filter, 5
memo, 
WL(nm), Abs, T%
621.0, 0.5241, 29.91
621.5, 0.5234, 29.97
622.0, 0.5223, 30.04
622.5, 0.5217, 30.08
623.0, 0.5206, 30.16
623.5, 0.5198, 30.21
624.0, 0.5189, 30.28
624.5, 0.5182, 30.32
625.0, 0.5172, 30.39
625.5, 0.5164, 30.45
626.0, 0.5157, 30.50
626.5, 0.5148, 30.56
627.0, 0.5139, 30.63
627.5, 0.5130, 30.69
628.0, 0.5122, 30.75
628.5, 0.5113, 30.81
629.0, 0.5105, 30.87
629.5, 0.5095, 30.94
630.0, 0.5088, 30.99
630.5, 0.5079, 31.05
631.0, 0.5071, 31.11
631.5, 0.5063, 31.17
632.0, 0.5055, 31.23
632.5, 0.5046, 31.29
